"PVWatts Hourly PV Performance Data"
"Requested Location","47.14817909516576, -71.26903775539678"
"Location","Lat, Lng: 47.13, -71.26"
"Latitude (DD)","47.13"
"Longitude (DD)","-71.26"
"Elevation (m)","647.84997558594"
"DC System Size (kW)","496.3"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-31","1.1","0.87","0","-31","0","0"
"1","1","1","0","0","-31","1.1","0.87","0","-31","0","0"
"1","1","2","0","0","-30","1.1","0.87","0","-30","0","0"
"1","1","3","0","0","-29","1.2","0.87","0","-29","0","0"
"1","1","4","0","0","-29","1.2","0.87","0","-29","0","0"
"1","1","5","0","0","-30","1.1","0.87","0","-30","0","0"
"1","1","6","0","0","-31","1","0.87","0","-31","0","0"
"1","1","7","0","0","-31","1.4","0.87","0","-31","0","0"
"1","1","8","540","38","-30","1.7","0.87","223.411","-24.32","103290.886","97663.763"
"1","1","9","721","62","-28","1.8","0.87","448.165","-16.568","223248.251","213370.562"
"1","1","10","783","80","-26","2","0.87","579.674","-11.791","286309.874","274197.66"
"1","1","11","780","94","-25","2.1","0.87","630.518","-9.857","308961.423","296046.576"
"1","1","12","761","95","-25","2.1","0.87","610.696","-10.333","299770.737","287181.551"
"1","1","13","702","85","-25","1.8","0.87","513.107","-11.894","253261.578","242320.397"
"1","1","14","400","57","-25","1.2","0.87","261.097","-17.416","126813.149","120352.538"
"1","1","15","282","30","-26","0.8","0.87","96.101","-23.179","34963.407","31757.399"
"1","1","16","0","0","-27","0.6","0.87","0","-27","0","0"
"1","1","17","0","0","-26","0.5","0.87","0","-26","0","0"
"1","1","18","0","0","-25","0.4","0.87","0","-25","0","0"
"1","1","19","0","0","-24","0.5","0.87","0","-24","0","0"
"1","1","20","0","0","-23","0.7","0.87","0","-23","0","0"
"1","1","21","0","0","-21","0.7","0.87","0","-21","0","0"
"1","1","22","0","0","-20","0.7","0.87","0","-20","0","0"
"1","1","23","0","0","-19","0.7","0.87","0","-19","0","0"
"1","2","0","0","0","-18","0.7","0.87","0","-18","0","0"
"1","2","1","0","0","-18","0.7","0.87","0","-18","0","0"
"1","2","2","0","0","-17","1.3","0.87","0","-17","0","0"
"1","2","3","0","0","-17","1.9","0.87","0","-17","0","0"
"1","2","4","0","0","-16","2","0.87","0","-16","0","0"
"1","2","5","0","0","-16","1.6","0.87","0","-16","0","0"
"1","2","6","0","0","-17","1.2","0.87","0","-17","0","0"
"1","2","7","0","0","-17","1.2","0.87","0","-17","0","0"
"1","2","8","422","43","-16","1.5","0.87","192.105","-10.892","84872.113","79897.641"
"1","2","9","242","85","-14","1.6","0.87","226.44","-7.981","107684.233","101901.437"
"1","2","10","406","102","-12","1.4","0.87","377.103","-1.492","178519.536","170226.763"
"1","2","11","92","142","-11","1.3","0.87","214.651","-4.898","100368.246","94844.684"
"1","2","12","235","134","-9","1.2","0.87","312.546","0.115","145784.152","138651.323"
"1","2","13","659","82","-9","1","0.87","486.9","5.96","226216.67","216233.798"
"1","2","14","503","67","-9","0.8","0.87","318.002","1.227","145715.178","138584.794"
"1","2","15","198","32","-9","0.7","0.87","86.498","-6.353","30671.697","27617.76"
"1","2","16","0","0","-10","0.7","0.87","0","-10","0","0"
"1","2","17","0","0","-9","0.7","0.87","0","-9","0","0"
"1","2","18","0","0","-9","0.7","0.87","0","-9","0","0"
"1","2","19","0","0","-8","0.9","0.87","0","-8","0","0"
"1","2","20","0","0","-7","1","0.87","0","-7","0","0"
"1","2","21","0","0","-5","1.3","0.87","0","-5","0","0"
"1","2","22","0","0","-4","1.8","0.87","0","-4","0","0"
"1","2","23","0","0","-3","2.1","0.87","0","-3","0","0"
"1","3","0","0","0","-3","2.2","0.87","0","-3","0","0"
"1","3","1","0","0","-2","2.2","0.87","0","-2","0","0"
"1","3","2","0","0","-2","2.2","0.87","0","-2","0","0"
"1","3","3","0","0","-2","2.1","0.87","0","-2","0","0"
"1","3","4","0","0","-2","2.2","0.87","0","-2","0","0"
"1","3","5","0","0","-1","2.4","0.87","0","-1","0","0"
"1","3","6","0","0","-1","2.5","0.87","0","-1","0","0"
"1","3","7","0","0","-1","2.5","0.87","0","-1","0","0"
"1","3","8","0","5","-1","2.4","0.87","4.702","-0.895","1788.071","0"
"1","3","9","0","6","-1","2.5","0.87","5.646","-0.875","2245.789","199.095"
"1","3","10","0","23","-1","2.6","0.87","21.676","-0.529","9134.847","6844.047"
"1","3","11","0","34","-1","2.7","0.87","32.066","-0.316","13698.349","11245.846"
"1","3","12","0","84","-1","2.8","0.87","81.156","0.7","35768.241","32533.714"
"1","3","13","0","17","-1","2.9","0.87","16.014","-0.67","6670.623","4467.14"
"1","3","14","0","22","-1","2.9","0.87","20.728","-0.574","8654.717","6380.93"
"1","3","15","137","34","-1","2.9","0.87","74.691","0.441","26530.244","23623.056"
"1","3","16","0","0","-1","2.9","0.87","0","-1","0","0"
"1","3","17","0","0","-1","2.9","0.87","0","-1","0","0"
"1","3","18","0","0","-1","2.9","0.87","0","-1","0","0"
"1","3","19","0","0","-1","3","0.87","0","-1","0","0"
"1","3","20","0","0","-1","3.1","0.87","0","-1","0","0"
"1","3","21","0","0","-1","3.1","0.87","0","-1","0","0"
"1","3","22","0","0","-1","3.1","0.87","0","-1","0","0"
"1","3","23","0","0","-1","2.8","0.87","0","-1","0","0"
"1","4","0","0","0","-1","2.5","0.87","0","-1","0","0"
"1","4","1","0","0","-3","2.5","0.87","0","-3","0","0"
"1","4","2","0","0","-7","2.7","0.87","0","-7","0","0"
"1","4","3","0","0","-10","2.3","0.87","0","-10","0","0"
"1","4","4","0","0","-13","1.6","0.87","0","-13","0","0"
"1","4","5","0","0","-15","1.2","0.87","0","-15","0","0"
"1","4","6","0","0","-16","1.1","0.87","0","-16","0","0"
"1","4","7","0","0","-17","1","0.87","0","-17","0","0"
"1","4","8","633","34","-17","0.8","0.87","245.204","-9.272","107819.617","102032.023"
"1","4","9","821","51","-17","0.6","0.87","482.506","-0.515","228455.654","218393.445"
"1","4","10","897","61","-16","0.6","0.87","623.96","5.35","291529.361","279232.2"
"1","4","11","922","66","-15","0.5","0.87","688.87","9.248","317049.674","303848.227"
"1","4","12","906","67","-15","0.3","0.87","670.862","10.072","307959.698","295080.346"
"1","4","13","845","64","-15","0.1","0.87","571.818","7.782","264839.696","253488.257"
"1","4","14","644","38","-16","0.2","0.87","350.165","-2.574","163464.675","155705.355"
"1","4","15","326","28","-18","0.6","0.87","110.51","-14.48","42129.692","38669.753"
"1","4","16","0","0","-20","1.1","0.87","0","-20","0","0"
"1","4","17","0","0","-23","1.2","0.87","0","-23","0","0"
"1","4","18","0","0","-24","1.1","0.87","0","-24","0","0"
"1","4","19","0","0","-23","1.1","0.87","0","-23","0","0"
"1","4","20","0","0","-23","1.2","0.87","0","-23","0","0"
"1","4","21","0","0","-23","1.1","0.87","0","-23","0","0"
"1","4","22","0","0","-23","1.1","0.87","0","-23","0","0"
"1","4","23","0","0","-22","1.2","0.87","0","-22","0","0"
"1","5","0","0","0","-22","1.2","0.87","0","-22","0","0"
"1","5","1","0","0","-21","1.2","0.87","0","-21","0","0"
"1","5","2","0","0","-20","1.2","0.87","0","-20","0","0"
"1","5","3","0","0","-19","1.2","0.87","0","-19","0","0"
"1","5","4","0","0","-18","1.1","0.87","0","-18","0","0"
"1","5","5","0","0","-16","0.8","0.87","0","-16","0","0"
"1","5","6","0","0","-15","0.8","0.87","0","-15","0","0"
"1","5","7","0","0","-14","1.1","0.87","0","-14","0","0"
"1","5","8","0","13","-13","1.3","0.87","12.239","-12.656","5108.292","2960.168"
"1","5","9","0","60","-13","1.3","0.87","57.897","-11.359","26364.905","23463.576"
"1","5","10","152","127","-12","1.2","0.87","238.188","-5.057","112228.856","106285.026"
"1","5","11","455","111","-11","1.2","0.87","439.982","1.85","206155.78","196883.745"
"1","5","12","209","139","-10","1.3","0.87","302.951","-1.376","141770.274","134779.674"
"1","5","13","0","94","-9","1.2","0.87","93.685","-6.278","42648.247","39169.934"
"1","5","14","115","77","-9","1.1","0.87","142.923","-4.746","65481.257","61193.88"
"1","5","15","7","28","-9","1","0.87","29.877","-8.125","11393.586","9022.75"
"1","5","16","0","0","-10","1.2","0.87","0","-10","0","0"
"1","5","17","0","0","-10","1.4","0.87","0","-10","0","0"
"1","5","18","0","0","-10","1.6","0.87","0","-10","0","0"
"1","5","19","0","0","-10","1.9","0.87","0","-10","0","0"
"1","5","20","0","0","-10","2.1","0.87","0","-10","0","0"
"1","5","21","0","0","-11","2.2","0.87","0","-11","0","0"
"1","5","22","0","0","-11","2.4","0.87","0","-11","0","0"
"1","5","23","0","0","-11","2.5","0.87","0","-11","0","0"
"1","6","0","0","0","-11","2.7","0.87","0","-11","0","0"
"1","6","1","0","0","-11","2.9","0.87","0","-11","0","0"
"1","6","2","0","0","-11","3","0.87","0","-11","0","0"
"1","6","3","0","0","-11","3","0.87","0","-11","0","0"
"1","6","4","0","0","-12","3","0.87","0","-12","0","0"
"1","6","5","0","0","-12","3.1","0.87","0","-12","0","0"
"1","6","6","0","0","-12","3.1","0.87","0","-12","0","0"
"1","6","7","0","0","-13","3.1","0.87","0","-13","0","0"
"1","6","8","0","34","-13","3.2","0.87","32.922","-12.362","14247.469","11775.508"
"1","6","9","0","19","-13","3.2","0.87","17.897","-12.65","7855.191","5609.735"
"1","6","10","5","111","-13","3.2","0.87","115.047","-10.746","53601.933","49735.487"
"1","6","11","0","113","-13","3.2","0.87","112.502","-10.797","52272.318","48452.986"
"1","6","12","0","59","-12","3.2","0.87","55.721","-10.909","25323.274","22458.854"
"1","6","13","477","123","-12","3.1","0.87","432.5","-3.34","206382.592","197102.52"
"1","6","14","377","89","-12","2.8","0.87","290.517","-5.907","136600.941","129793.51"
"1","6","15","154","38","-12","2.6","0.87","87.542","-10.183","34546.223","31354.997"
"1","6","16","0","0","-12","2.6","0.87","0","-12","0","0"
"1","6","17","0","0","-12","2.6","0.87","0","-12","0","0"
"1","6","18","0","0","-12","2.5","0.87","0","-12","0","0"
"1","6","19","0","0","-12","2.5","0.87","0","-12","0","0"
"1","6","20","0","0","-13","2.5","0.87","0","-13","0","0"
"1","6","21","0","0","-13","2.4","0.87","0","-13","0","0"
"1","6","22","0","0","-13","2.4","0.87","0","-13","0","0"
"1","6","23","0","0","-13","2.4","0.87","0","-13","0","0"
"1","7","0","0","0","-13","2.3","0.87","0","-13","0","0"
"1","7","1","0","0","-13","2.3","0.87","0","-13","0","0"
"1","7","2","0","0","-13","2.2","0.87","0","-13","0","0"
"1","7","3","0","0","-13","2.2","0.87","0","-13","0","0"
"1","7","4","0","0","-13","2.3","0.87","0","-13","0","0"
"1","7","5","0","0","-14","2.4","0.87","0","-14","0","0"
"1","7","6","0","0","-14","2.4","0.87","0","-14","0","0"
"1","7","7","0","0","-14","2.3","0.87","0","-14","0","0"
"1","7","8","0","39","-13","2.3","0.87","38.891","-12.116","16928.92","14361.945"
"1","7","9","29","88","-13","2.4","0.87","109.778","-10.526","51105.535","47327.546"
"1","7","10","0","68","-12","2.3","0.87","64.683","-10.515","29531.664","26518.123"
"1","7","11","0","119","-11","2.1","0.87","119.168","-8.157","54940.595","51026.715"
"1","7","12","0","76","-11","2.1","0.87","72.552","-9.269","33061.779","29923.153"
"1","7","13","0","28","-10","2.1","0.87","26.395","-9.37","11626.139","9247.063"
"1","7","14","0","72","-10","1.9","0.87","72.901","-8.191","32956.553","29821.655"
"1","7","15","0","21","-10","1.7","0.87","19.809","-9.502","7739.178","5497.832"
"1","7","16","0","0","-10","1.6","0.87","0","-10","0","0"
"1","7","17","0","0","-10","1.6","0.87","0","-10","0","0"
